CELL_Line,Tissue_name
ACH-001523,skin
ACH-001524,skin
ACH-001525,cervix
ACH-001526,bone
ACH-001529,uterus
ACH-001530,uterus
ACH-001532,kidney
ACH-001536,bile_duct
ACH-001538,bile_duct
ACH-001540,soft_tissue
ACH-001542,upper_aerodigestive
ACH-001543,upper_aerodigestive
ACH-001548,peripheral_nervous_system
ACH-001549,lung
ACH-001550,skin
ACH-001551,skin
ACH-001552,skin
ACH-001554,eye
ACH-001555,lung
ACH-001556,lung
ACH-001557,lung
ACH-001558,lung
ACH-001559,lung
ACH-001560,lung
ACH-001561,lung
ACH-001562,lung
ACH-001563,skin
ACH-001566,skin
ACH-001567,skin
ACH-001568,skin
ACH-001570,skin
ACH-001607,bile_duct
ACH-001608,central_nervous_system
ACH-001609,central_nervous_system
ACH-001610,central_nervous_system
ACH-001611,central_nervous_system
ACH-001613,blood
ACH-001617,lymphocyte
ACH-001618,blood
ACH-001619,bile_duct
ACH-001622,central_nervous_system
ACH-001623,central_nervous_system
ACH-001624,central_nervous_system
ACH-001628,ovary
ACH-001634,blood
ACH-001636,lymphocyte
ACH-001638,lymphocyte
ACH-001642,lymphocyte
ACH-001645,skin
ACH-001647,blood
ACH-001650,cervix
ACH-001651,uterus
ACH-001652,uterus
ACH-001653,gastric
ACH-001654,esophagus
ACH-001655,uterus
ACH-001656,blood
ACH-001664,gastric
ACH-001668,embryo
ACH-001670,peripheral_nervous_system
ACH-001673,bile_duct
ACH-001674,peripheral_nervous_system
ACH-001677,lymphocyte
ACH-001685,lymphocyte
ACH-001699,upper_aerodigestive
ACH-001702,soft_tissue
ACH-001711,central_nervous_system
ACH-001712,bone
ACH-001715,bone
ACH-001735,blood
ACH-001736,blood
ACH-001737,blood
ACH-001740,soft_tissue
ACH-001741,soft_tissue
ACH-001743,soft_tissue
ACH-001745,soft_tissue
ACH-001750,soft_tissue
ACH-001751,soft_tissue
ACH-001765,soft_tissue
ACH-001786,colorectal
ACH-001790,soft_tissue
ACH-001791,soft_tissue
ACH-001793,soft_tissue
ACH-001794,soft_tissue
ACH-001795,soft_tissue
ACH-001796,soft_tissue
ACH-001799,soft_tissue
ACH-001802,soft_tissue
ACH-001804,soft_tissue
ACH-001807,soft_tissue
ACH-001814,bone
ACH-001818,bone
ACH-001819,breast
ACH-001835,bile_duct
ACH-001836,bile_duct
ACH-001838,bile_duct
ACH-001839,bile_duct
ACH-001841,bile_duct
ACH-001842,bile_duct
ACH-001843,bile_duct
ACH-001844,bile_duct
ACH-001845,bile_duct
ACH-001846,bile_duct
ACH-001848,bile_duct
ACH-001849,bile_duct
ACH-001850,bile_duct
ACH-001852,bile_duct
ACH-001853,bile_duct
ACH-001856,bile_duct
ACH-001857,bile_duct
ACH-001858,bile_duct
ACH-001861,bile_duct
ACH-001862,bile_duct
ACH-001863,bile_duct
ACH-001864,bile_duct
ACH-001959,bile_duct
ACH-001960,bile_duct
ACH-001961,bile_duct
ACH-001993,blood
ACH-001997,bile_duct
ACH-001999,pancreas
ACH-002001,skin
ACH-002002,skin
ACH-002003,skin
ACH-002004,skin
ACH-002005,skin
ACH-002011,eye
ACH-002015,eye
ACH-002016,eye
ACH-002017,eye
ACH-002018,eye
ACH-002029,upper_aerodigestive
ACH-002044,upper_aerodigestive
ACH-002045,upper_aerodigestive
ACH-002059,blood
ACH-002066,central_nervous_system
ACH-002446,gastric
ACH-002509,skin
